Algorithm,Score
Linear Regression with CV and Ridge Regularization,5.232965166251771
K-Nearest Neighbors,8.495356738515685
Decision Trees,6.016117421661209
Random Forests,4.447851807272586
Logistic Regression,
AdaBoostRegressor,
XGBRegressor,
Naive Bayes (Gaussian),
Naive Bayes (Multinomial),
KNeighborsClassifier,
DecisionTreeClassifier,
RandomForestClassifier,
AdaBoostClassifier,
XGBClassifier,
